"Geneid"	"Phase1.IR1.1009.POOL.0003202425.5104.SL.0095"	"Phase1.IR1.1009.POOL.0003202427.5104.SL.0287"	".Phase1.IR1.1009.POOL.0003202429.5104.SL.0479"
"ENSG00000223972.4"	7	3	5
"ENSG00000227232.4"	576	157	254
"ENSG00000243485.2"	0	0	1
"ENSG00000237613.2"	0	0	0
"ENSG00000268020.2"	0	1	0
"ENSG00000240361.1"	0	0	0
"ENSG00000186092.4"	0	0	0
"ENSG00000238009.2"	97	33	62
"ENSG00000239945.1"	0	0	0
"ENSG00000233750.3"	3	1	3
"ENSG00000237683.5"	261	74	128
"ENSG00000268903.1"	8	2	3
"ENSG00000269981.1"	0	0	0
"ENSG00000239906.1"	36	7	20
"ENSG00000241860.2"	247	136	180
"ENSG00000222623.1"	27	9	24
"ENSG00000241599.1"	0	0	0
"ENSG00000228463.4"	162	84	111
"ENSG00000241670.2"	0	0	0
"ENSG00000237094.7"	10	4	4
"ENSG00000250575.1"	0	0	0
"ENSG00000233653.3"	0	0	0
"ENSG00000224813.2"	0	0	0
"ENSG00000235249.1"	0	0	0
"ENSG00000269732.1"	0	0	0
"ENSG00000256186.1"	0	0	0
"ENSG00000236601.1"	0	0	0
"ENSG00000236743.1"	0	0	0
"ENSG00000236679.2"	0	0	0
"ENSG00000231709.1"	0	2	1
"ENSG00000235146.2"	0	0	0
"ENSG00000239664.2"	0	0	1
"ENSG00000230021.3"	35	9	12
"ENSG00000223659.1"	1	0	1
"ENSG00000225972.1"	0	0	0
"ENSG00000225630.1"	5	16	12
"ENSG00000237973.1"	25	31	58
"ENSG00000229344.1"	0	2	0
"ENSG00000240409.1"	0	0	0
"ENSG00000248527.1"	1	14	11
"ENSG00000198744.5"	2	2	1
"ENSG00000268663.1"	0	0	0
"ENSG00000185097.2"	0	0	0
"ENSG00000229376.3"	3	0	2
"ENSG00000224956.5"	21	7	4
"ENSG00000235373.1"	32	14	31
"ENSG00000223181.1"	7	3	6
"ENSG00000240618.1"	9	5	5
"ENSG00000229905.1"	1	0	0
"ENSG00000228327.2"	213	85	146
"ENSG00000237491.4"	226	116	160
"ENSG00000230092.3"	95	45	67
"ENSG00000269831.1"	42	11	15
"ENSG00000240453.1"	98	36	51
"ENSG00000177757.1"	6	1	3
"ENSG00000225880.4"	254	43	87
"ENSG00000228794.4"	596	373	584
"ENSG00000230368.2"	4	4	7
"ENSG00000234711.1"	4	1	5
"ENSG00000269308.1"	1	3	1
"ENSG00000272438.1"	3	1	3
"ENSG00000230699.2"	3	7	3
"ENSG00000241180.1"	0	0	0
"ENSG00000223764.2"	6	7	11
"ENSG00000187634.6"	14	10	16
"ENSG00000268179.1"	3	1	2
"ENSG00000188976.6"	1439	251	380
"ENSG00000187961.9"	263	95	125
"ENSG00000187583.6"	44	20	19
"ENSG00000187642.5"	6	15	5
"ENSG00000272512.1"	17	4	9
"ENSG00000188290.6"	107	88	121
"ENSG00000231702.2"	0	0	2
"ENSG00000224969.1"	5	3	3
"ENSG00000187608.5"	1252	1147	1744
"ENSG00000188157.9"	154	87	80
"ENSG00000242590.1"	0	0	0
"ENSG00000217801.5"	11	8	16
"ENSG00000273443.1"	2	4	3
"ENSG00000237330.2"	7	11	5
"ENSG00000131591.13"	357	167	183
"ENSG00000223823.1"	7	7	7
"ENSG00000207730.1"	1	5	1
"ENSG00000207607.1"	3	0	1
"ENSG00000198976.1"	0	0	0
"ENSG00000272141.1"	0	3	4
"ENSG00000205231.1"	11	8	5
"ENSG00000162571.9"	18	17	15
"ENSG00000186891.9"	170	71	134
"ENSG00000186827.6"	164	70	122
"ENSG00000078808.12"	2305	450	972
"ENSG00000176022.3"	721	412	560
"ENSG00000184163.3"	32	15	16
"ENSG00000260179.1"	37	26	25
"ENSG00000160087.16"	2204	915	1491
"ENSG00000230415.1"	37	9	14
"ENSG00000162572.15"	124	44	55
"ENSG00000131584.14"	1672	577	885
"ENSG00000169972.7"	305	95	141
"ENSG00000127054.14"	1239	571	893
"ENSG00000240731.1"	41	33	53
"ENSG00000224051.2"	385	67	120
"ENSG00000169962.4"	32	16	20
"ENSG00000107404.13"	813	371	675
"ENSG00000162576.12"	17	17	24
"ENSG00000175756.9"	1515	940	1436
"ENSG00000223663.2"	0	0	0
"ENSG00000221978.7"	5662	3322	4703
"ENSG00000224870.3"	822	723	976
"ENSG00000242485.1"	998	542	834
"ENSG00000264293.1"	0	0	0
"ENSG00000272455.1"	166	96	126
"ENSG00000235098.4"	9	4	6
"ENSG00000225905.1"	0	0	0
"ENSG00000205116.3"	2	0	4
"ENSG00000225285.1"	3	2	5
"ENSG00000179403.10"	13	6	18
"ENSG00000215915.5"	24	12	30
"ENSG00000160072.15"	947	538	840
"ENSG00000197785.9"	260	100	140
"ENSG00000205090.4"	9	10	9
"ENSG00000160075.10"	1907	738	1148
"ENSG00000215791.2"	0	0	0
"ENSG00000215014.3"	28	21	37
"ENSG00000236684.1"	0	0	0
"ENSG00000228594.1"	37	10	14
"ENSG00000272106.1"	170	81	120
"ENSG00000197530.8"	1252	447	770
"ENSG00000189409.8"	14	4	16
"ENSG00000248333.3"	672	328	517
"ENSG00000272004.1"	45	41	68
"ENSG00000189339.7"	2939	778	1245
"ENSG00000269737.1"	0	2	1
"ENSG00000269227.1"	1	1	1
